"activity_name","destination_name","seo_title","content","description","presentation"
"Striptease Thématique","Lisbonne","Striptease Thématique pour mon EVG à Lisbonne!","<ul><li>Show de striptease</li><li>Vous pouvez choisir le thème/costume de la stripteaseuse</li><li>Fausse professeure de yoga, policière, infirmière, dominatrice, docteure, marine, autres uniformes</li><li>Durée: 12 minutes</li><li>Activité disponible à votre hôtel ou appartement</li></ul>","<p>Envie d'un striptease différent d'habitude ?&nbsp;</p>","<p>Envie d'un striptease différent d'habitude pour votre EVG? Vous souhaitez ajouter un thème à l'activité ? Policière, infirmière, dominatrice,... Nous pouvons tout faire pour votre EVG à Lisbonne!</p><p>Au moment de la réservation, vous devez simplement nous confirmer le costume choisi, et nous nous en occuperons pour vous !</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>Activité disponible en hôtel ou appartement.</p>"
"Hôtel 5*","Lisbonne","Hôtel 5* pour mon EVG à Lisbonne","<ul><li>Chambre de 2, 3 ou 4 personnes</li><li>Lits doubles ou simples</li><li>WIFI<br></li><li>Check in début après midi</li><li>Check out fin matinée</li><li>Possibilité de rajouter le petit déjeuner en supplément</li></ul>","<p>Un hébergement de grande classe, idéal pour les groupes à la recherche de luxe et de grand confort.</p>","<p>Pour votre enterrement de vie de garçon à Lisbonne, on vous propose un hébergement de grande classe, idéal pour les groupes à la recherche de luxe et de grand confort.</p><p>Cet hôtel 5 étoiles est parfaitement situé. Il propose des chambres de grande qualité pour 2, 3 ou 4&nbsp; personnes.</p><p>Les chambres sont spacieuses et lumineuses. Elles possèdent une connexion Wi-Fi gratuite, ainsi qu'une télévision.</p><p><b><u>BON À SAVOIR</u> :</b></p><p>La réservation n'inclut pas la taxe de séjour imposée par la municipalité : (2€ par personne, par nuit).</p>"
"Beer Bike","Lisbonne","Beer Bike pour mon EVG à Lisbonne","<ul> 	<li><span style=""font-weight: normal;""> 		1 heure de location du Beer Bike</span></li> 	<li><span style=""font-weight: normal;""> 		Un chauffeur qui reste sobre pour conduire</span></li> 	<li><span style=""font-weight: normal;""> 		Une visite de la ville sur un engin incroyable</span></li> 	<li><span style=""font-weight: normal;""> 		Un litre de vin ou bière ou soft par personne (équivalent à 5 bières environ)</span></li><li><span style=""font-weight: normal;"">Possibilité de brancher sa musique&nbsp;</span></li><li><span style=""font-weight: normal;"">Tour le long du Tage pratiquement les pieds dans l'eau</span></li> 	<li><span style=""font-weight: normal;""> 		17 personnes max</span></li><li><span style=""font-weight: normal;"">Si vous êtes moins de 17 personnes, vous partagerez le beerbike avec d'autres personnes<br></span></li><li><span style=""font-weight: normal;"">2 beerbike disponibles </span></li> </ul> ","Visite de Lisbonne sur un Beer Bike ou Vélo Bar ! L'activité parfaite pour associer Apéro et Découverte de la ville !","<p>Le Beer Bike/ Vélo Bar est un véhicule spécial pour ceux qui veulent mélanger fun, visite guidée, bière et effort sportif lors de leur enterrement de vie de garçon à Lisbonne... Pour les flemmards qui se voyaient déjà siroter leur bière sans bouger le petit doigt, sachez qu'il faut quand même pédaler un peu pour que le ""vélo"" avance ! </p><p>Notre chauffeur reste sobre et tient seul le guidon du véhicule. Pendant ce temps-là vous pédalez... et vous avez la possibilité de boire de la bière ou une autre boisson au choix.</p><p>Car sur le Beer Bike, comme son nom laisse le présumé, vous allez boire ! Un litre de vin ou bière par personne est inclus pendant l'activité.</p><p>Parfait en fin de journée avant de rentrer à l'<a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-lisbonne/appartement-hebergement"" rel=""noopener noreferrer"" target=""_blank"">Appartement</a>.</p><p><br></p><p><u>BON A SAVOIR</u> :</p><p>Le point de RDV est fixé en centre-ville. Accessible à pied ou en transport en commun.</p><p>Le Vélo Bar est réservé aux groupes de 4 à 17 personnes. </p><p>Si vous êtes moins de 17 personnes, vous partagerez le beerbike avec d'autres personnes.</p><p>Pour les personnes qui n'aimeraient pas la bière (honte à vous !) Nous pouvons vous proposer l'option Prosecco.</p>"
"Balade en Catamaran","Lisbonne","Balade en Catamaran pour mon EVG à Lisbonne","<ul><li>4h de balade sur le Tage et l'océan sur un bateau privatisé</li><li>1 skipper pour vous guider </li><li>Baignade si le temps le permet</li><li>1 boisson par personne (bières, vin, softs)</li><li>Planche de fromage et chorizo</li><li>Capacité : 18 pers. en plus du skipper</li><li>2 créneaux horaires possibles: 10h00 à 14h00 ou 14h30 à 18h30&nbsp;</li></ul>","","<p style=""text-align: justify;"">Réservez une Balade en Catamaran et profitez de la vue de Lisbonne depuis le fleuve Tage.</p><p style=""text-align: justify;"">Le capitaine vous retrouve directement sur la Marina.&nbsp;</p><p style=""text-align: justify;"">Offert sur le catamaran : du vin, quelques bières, coca, eau, fromages et chorizo !</p><p style=""text-align: justify;"">Il est nécessaire de préciser lors de la réservation le créneau que vous préférez. Nous ferons de notre mieux pour respecter votre choix.</p><p style=""text-align: justify;"">Le Catamaran est avant tout destiné aux grands groupes. Pour les groupes de moins de 18 personnes nous conseillons plutôt la le volier de 12 places.</p><p style=""text-align: justify;""><br></p><p style=""text-align: justify;""><u>BON À SAVOIR :</u></p><p style=""text-align: justify;"">Le départ se fait sur les quais dans le centre de Lisbonne. Le transport sur place n'est pas inclus (il faut compter environ 7 à 8 EUR en taxi depuis le centre historique).</p>"
"Balade en Bateau & BBQ","Lisbonne","Balade en Bateau & BBQ pour mon EVG à Lisbonne","<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>4h de balade sur le Tage et l'océan sur un catamaran privatisé</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>1 skipper pour vous guider</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Baignade si le temps le permet</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>4 boissons par personne (bières, vin, softs)</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Assortiment de fromages</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Assortiment de chorizo</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Capacité : 12 pers. en plus du skipper</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>2 créneaux horaires possibles: 10h00 à 14h00 ou 14h30 à 18h30</li></ol>","<p><strong>Vous préparez un enterrement de vie de garçon à Lisbonne et vous voulez envoyer du lourd ? Optez pour une balade en catamaran privatisé pour EVG ! Au programme : soleil, baignade, BBQ, boissons à volonté et vibes de folie sur le Tage et l’océan Atlantique. Bref, le combo parfait pour un EVG à Lisbonne en bateau.</strong></p>","<p>Réservez une Balade en Bateau &amp; BBQ pour votre enterrement de vie de garçon à Lisbonne!</p><p>Le départ se fait sur les quais dans le centre de Lisbonne. Le transport sur place n'est pas inclus (il faut compter environ 7 à 8 EUR en taxi depuis le centre historique).</p><p>Le skipper du bateau vous retrouve directement sur la Marina. Offert sur le catamaran: une bouteille de vin, quelques bières, coca, eau, fromages et chorizo!</p><p>Lorsque le créneau de 10h00 à 14h00 est complet, le catamaran se fait sur le créneau suivant : de14h30 à 18h30.</p><p>Il est nécessaire de préciser lors de la réservation si vous préférez le créneau 10h00 à 14h00 ou celui de 14h30 à 18h30. Nous ferons de notre mieux pour respecter votre choix.</p><p><br></p><p>Ne ratez pas l’EVG de vos rêves ! Réservez votre catamaran à Lisbonne dès aujourd’hui et préparez-vous à vivre 4 heures de pur fun avec vos potes.</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Pourquoi choisir Lisbonne pour un EVG en bateau ?</strong></h2><p>Lisbonne est LA ville parfaite pour un EVG sur un catamaran. Entre le soleil, les paysages magnifiques du Tage et l’océan Atlantique, et la vie nocturne de folie, tout est réuni pour un week-end mémorable. Louer un bateau à Lisbonne pour EVG, c’est la garantie de combiner détente, fiesta et moments uniques entre amis.</p><p>Le vent dans les cheveux, le soleil sur la peau, le clapotis de l’eau… La croisière sur le catamaran promet des moments mémorables.</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Moments Instagramables sur votre catamaran EVG</strong></h2><p>Entre les plongeons dans l’océan, le BBQ sur le pont, les toasts avec les potes et le coucher de soleil sur Lisbonne, votre EVG en bateau sera rempli de moments dignes d’Instagram.</p><p>N’oubliez pas votre appareil photo ou votre GoPro : selfies sur le pont, vidéos des plongeons et toasts entre amis feront le buzz sur vos réseaux.</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Conseils pour personnaliser son EVG en bateau à Lisbonne</strong></h2><p>Pour que votre EVG devienne vraiment unique, misez sur la personnalisation :</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Tenues à thème : maillots assortis, chapeaux délirants, lunettes XXL</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Jeux et défis : courses de plongeon, concours de danse sur le pont, mini-challenges entre amis</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Musique et playlist personnalisée pour mettre l’ambiance</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Activités supplémentaires : striptease, open bar, cocktails DIY</li></ol><p><br></p><h3>Location bateau lisbonne evg : Sécurité et confort </h3><p>Même si on est là pour faire la fête, le confort et la sécurité restent essentiels. Pas de panique : le skipper s’occupe de tout, le bateau est totalement sécurisé, et toutes les consignes nécessaires vous sont données pour profiter pleinement de la croisière en toute sérénité. </p><p>Le seul vrai risque ? Ne pas vouloir redescendre et rester à bord jusqu’au coucher de soleil ! Avec ces garanties, votre EVG sur un catamaran Lisbonne se passe sans stress, juste du fun à 100 %.</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Idées de combos EVG Lisbonne</strong></h2><p>Vous voulez prolonger l’expérience et faire de votre EVG à Lisbonne en bateau un week-end complet ? Il existe plein de combinaisons fun : </p><p>Prolongez l’expérience et transformez votre EVG en week-end complet :</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Jour 1 : croisière en catamaran &amp; BBQ</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Jour 2 : bar crawl dans le centre historique ou rooftop party</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Jour 3 : plage et activités nautiques sur l’océan Atlantique</li></ol><p>Avec ces combos, la location de bateau Lisbonne EVG devient le point central d’un week-end inoubliable entre potes.</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Autres activités pour votre EVG à Lisbonne</strong></h2><p>Lisbonne regorge d’activités originales pour compléter votre EVG et rendre ce week-end vraiment inoubliable. Que vous cherchiez de l’adrénaline, du fun entre amis ou des expériences plus relax, il y en a pour tous les goûts :</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Escape Game &amp; Afternoon Tea : une activité originale pour mettre vos talents de détective à l’épreuve et partager un moment convivial autour du thé.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Foot 5/5 ou Foot 7/7 : défiez vos amis lors d’un match fun et sportif, idéal pour se mettre dans l’ambiance du week-end.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Beer Bike : pédalez ensemble dans les rues de Lisbonne tout en dégustant vos boissons préférées, une expérience unique et festive.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Spa Thermal : pour un moment de détente et de récupération entre deux activités de folie.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Cours de dessin modèle nu : une idée insolite et originale pour marquer votre EVG de manière artistique.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Foot Bulle : mélange de foot et de rigolade dans des bulles géantes, parfait pour des photos et vidéos mémorables.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Foot &amp; Tapas : combinez sport et gastronomie pour un EVG qui allie plaisir et convivialité.</li></ol><p>Avec ces activités, votre EVG à Lisbonne peut être entièrement personnalisé, en combinant sport, détente, aventures originales et moments festifs pour créer un week-end mémorable entre potes.</p><h3>Catamaran Lisbonne evg : Conseils pratiques supplémentaires</h3><p>Pour améliorer l’expérience et profiter pleinement de votre EVG à Lisbonne, voici quelques conseils pratiques :</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Horaires recommandés pour profiter du coucher de soleil : Optez pour le créneau de 14h30 à 18h30 pour admirer le soleil se coucher sur le Tage et l’océan Atlantique, des instants parfaits pour des photos et vidéos mémorables.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Meilleures périodes de l’année pour la croisière : De mai à septembre, le temps est idéal pour naviguer, se baigner et profiter du soleil. Les soirées sont également douces, parfaites pour un BBQ sur le pont.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Astuces pour une croisière réussie : N’oubliez pas maillots, crème solaire, lunettes de soleil et appareil photo ou GoPro pour immortaliser chaque moment. Pensez également à préparer une playlist personnalisée pour mettre l’ambiance dès le départ.</li></ol><h2><strong style=""background-color: rgb(255, 255, 255);"">Location bateau lisbonne evg : Pourquoi choisir Crazy EVG ?</strong></h2><p>Pour vous garantir un EVG inoubliable à Lisbonne, voici ce qui nous distingue :</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Skippers expérimentés et francophones pour une navigation sécurisée et des conseils personnalisés</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Bateaux sécurisés et entretenus, conformes à toutes les normes, pour que votre seule préoccupation soit de vous amuser.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Packages flexibles et personnalisables, adaptés à vos envies et au style de votre EVG.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Réservation facile et rapide, directement en ligne, avec confirmation immédiate pour vous assurer le créneau de votre choix.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Spécialistes des EVG en Europe, avec une expertise reconnue dans l’organisation d’activités fun et originales.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Inspiré du film <em>Budapest</em> : nos expériences combinent luxe, fun et aventures entre amis.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Activités testées et approuvées : chaque croisière, jeu ou animation a été soigneusement sélectionné pour garantir le maximum de fun et de sécurité.</li></ol><p>Les créneaux partent vite ! Réservez maintenant  votre croisière !</p><h2><strong style=""background-color: rgb(255, 255, 255);"">Réservez votre EVG Lisbonne Bateau dès maintenant !</strong></h2><p>Le mot d’ordre : ne tardez pas ! Réservez votre catamaran pour EVG à Lisbonne et personnalisez votre croisière avec BBQ, open bar ou striptease. Entre amis, soleil, mer et fête, vous êtes assurés de vivre un EVG inoubliable à Lisbonne sur un bateau.</p><h2><strong>FAQ EVG Lisbonne Bateau</strong></h2><h3><strong>Combien de personnes peuvent monter sur le catamaran pour EVG ?</strong></h3><p>Le catamaran peut accueillir 12 potes maximum en plus du skipper. C’est le nombre idéal pour que tout le monde ait de l’espace et de l’ambiance.</p><h3><strong>Peut-on ajouter un open bar ou striptease ?</strong></h3><p>Bien sûr ! L’open bar et le striptease sont des options parfaites pour rendre votre <strong>EVG à Lisbonne en bateau</strong> encore plus fun.</p><h3><strong>Comment se rendre au catamaran depuis le centre-ville ?</strong></h3><p>La Marina se trouve à quelques minutes en taxi (environ 7-8 €). Le skipper vous attend sur place pour vous embarquer directement.</p><h3><strong>Que se passe-t-il si le temps est mauvais ?</strong></h3><p>Pas de panique, la croisière peut être adaptée selon la météo. Et même si la baignade est compromise, la fête sur le <strong>bateau EVG à Lisbonne</strong> continue !</p><h3><strong>Peut-on faire un EVG Lisbonne pas cher en bateau ?</strong></h3><p> Oui ! Notre pack EVG Crazy à 161 € est <strong>idéal pour un EVG complet à prix abordable</strong>.</p><h3><strong>Que prendre pour profiter pleinement de la croisière ?</strong></h3><p> Maillots, lunettes de soleil, crème solaire, appareil photo/GoPro et bonne humeur !</p><p><br></p>"
"Strip à domicile","Lisbonne","Strip à domicile pour mon EVG à Lisbonne","<ul> 	<li><span style=""font-weight: normal;""> 		Show striptease de 10 minutes environ</span></li> 	<li><span style=""font-weight: normal;""> 		Directement à votre hébergement (appartement de préférence)</span></li> </ul> ","<p>Une idée sympa pour réveiller le marié au petit matin... Room service !</p>","<p>Le Strip à domicile peut se faire soit le matin au réveil soit à l'heure de l'apéro.&nbsp;</p><p>La danseuse se déplace et vient à votre appartement.&nbsp;<span style=""color: rgb(0, 0, 0); font-weight: 400;"">Un participant devra l'attendre devant votre immeuble pour l'accompagner jusqu'à votre chambre/appartement.</span></p> <p> 	Le côté positif de cette activité c'est que le show de striptease à domicile peut être que pour le marié ou pour toute le groupe !</p><p>Si vous voulez un show de striptease plus atypique et original, optez pour notre <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-lisbonne/strip-&amp;-serpent-activites"">Strip &amp; Serpent</a>&nbsp;!<u><br></u></p><p><u>BON À SAVOIR</u> :</p><p>Le Strip à domicile peut se faire soit le matin au réveil soit à l'heure de l'apéro.&nbsp;<br></p> "
"Atelier Cocktails","Lisbonne","Atelier Cocktails pour mon EVG à Lisbonne","<ul><li>Atelier cocktail</li><li>Réalisation de 2 cocktails par personne</li><li>1 shot par personne</li><li>Eau et snacks</li><li>Durée: 2 heures</li><li>L'activité a lieu dans un bar du Chiado</li><li>Disponible mardi, mercredi, jeudi et vendredi à 19:00</li></ul>","<p>Fini les cocktails mal dosés en soirée qui vous filent un mal de crâne pas possible le lendemain : Vous apprendrez à faire virevolter vos shakers afin de donner une saveur particulière à chacun de vos cocktails.</p>","<p>Fini les cocktails mal dosés en soirée qui vous filent un mal de crâne pas possible le lendemain : Vous apprendrez à faire virevolter vos shakers afin de donner une saveur particulière à chacun de vos cocktails.</p><p>Un barman professionnel vous guidera pendant environ deux heures et vous expliquera comment manier tous les instruments nécessaires à la mixologie.</p><p>Une activité sympa à faire en groupe et l'occasion de revenir en ayant appris au moins quelque chose de votre enterrement de vie de garçon histoire de se donner bonne conscience.</p><p>Pour ceux qui veulent juste boire, faites une <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-lisbonne/d%C3%A9gustation-de-bi%C3%A8res-activites"">Dégustation de Bières</a> ou de <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-lisbonne/d%C3%A9gustation-de-vin-activites"">Vin</a>.&nbsp;</p><p><b><u><br></u></b></p><p><b><u>BON À SAVOIR</u> :</b></p><p>Vous avez la possibilité de commander de la nourriture pendant l'activité.</p>"
"Boat Party Open Bar","Lisbonne","Boat Party Open Barpour mon EVG à Lisbonne","<p></p><div><ul><li>Boat Party</li><li>Croisière publique</li><li>4 h de croisière sur le Tage et en mer</li><li>1 skipper pour guider le bateau</li><li>DJ et Live Music pour ambiancer la croisière (urban, dance/electro et latino)</li><li>Bière, sangria, vin blanc et softs à discrétion</li><li>1 sandwich avec frites par personne </li><li>Sandwich au poulet ou végétarien</li><li>Pause baignade</li><li>Disponible les samedis</li><li>Départ à 14h00 ou à 19h00</li></ul></div><p></p>","<div>&nbsp;L'activité idéale pour vous assurer d'avoir une ambiance festive très conviviale et partager un moment inoubliable avec votre groupe...&nbsp;<br></div>","<p>Participez à une&nbsp;Boat Party Open Bar&nbsp;de folie pendant votre Enterrement de Vie de Garçon à Lisbonne ! L'activité idéale pour vous assurer d'avoir une ambiance festive très conviviale et partager un moment inoubliable avec votre groupe...&nbsp;</p><p>Vous serez à bord d'un Bateau pendant 4 heures, avec un DJ diffusant des musiques commerciales comme electro pour ambiancer la croisière. Lors de la prestation, vous sera proposé un open bar de bière, vin blanc, sangria et softs ainsi qu'un sandwich par personne.</p><p><u style=""""><br></u></p><p>À quel genre de groupe s’adresse cette activité ?</p><p>La Boat Party Open Bar s’adresse aux groupes d’enterrement de vie de garçon qui aiment faire la fête, en particulier dans des endroits insolites et qui n'ont pas peur de se sociabiliser.</p><p><u style=""""><br></u></p><p><u style="""">BON À SAVOIR&nbsp;</u>:</p><p>Seulement les créneaux de 14h00 et 19h00 sont disponibles le samedi. Il ne vous sera pas possible d'effectuer la Boat Party le vendredi ou le dimanche.</p>"
"Balade en Bateau","Lisbonne","Balade en Bateau pour mon EVG à Lisbonne","<ul><li>3h de balade sur le Tage et l'océan sur un bateau privatisé</li><li>1 skipper pour vous guider&nbsp;</li><li>Baignade si le temps le permet</li><li>1 boisson par personne</li><li>Assortiment de fromages</li><li>Assortiment de chorizo</li><li>Capacité : 25 pers. en plus du skipper</li><li>2 créneaux horaires possibles: 10h00 à 14h00 ou 14h30 à 18h30</li></ul>","<p></p><div>Profitez de 3 heures de balade en Bateau pendant votre EVG à Lisbonne!</div><p></p>","<p>Profitez de 3 heures de balade en Bateau pendant votre EVG à Lisbonne!<br></p><p>Le départ se fait sur les quais dans le centre de Lisbonne. Le transport sur place n'est pas inclus (il faut compter environ 7 à 8 EUR en taxi depuis le centre historique).</p><p>Le skipper du bateau vous retrouve directement sur la Marina. Offert sur le bateau : une bouteille de vin, quelques bières, coca, eau, fromages et chorizo!</p><p>Il est nécessaire de préciser lors de la réservation si vous préférez le créneau&nbsp;10h00 ou celui de&nbsp;14h30. Nous ferons de notre mieux pour respecter votre choix.</p>"
"Escape Game Outdoor Magie","Lisbonne","Escape Game Outdoor Magie  pour mon EVG à Lisbonne!","<ul><li><span style=""font-weight: normal;"">Durée de l'activité: 02h00</span></li><li><span style=""font-weight: normal;"">Escape game outdoor dans le centre-ville</span></li><li><span style=""font-weight: normal;"">Différentes énigmes thème&nbsp;</span>Magie</li><li><span style=""font-weight: normal;"">Plusieurs équipes de 1 à 6 personnes</span></li><li><span style=""font-weight: normal;"">Instructions de jeu</span></li><li><span style=""font-weight: normal;"">Codes d'accès</span></li><li><span style=""font-weight: normal;"">Jeu accessible depuis sur votre portable</span></li><li><span style=""font-weight: normal;"">Vous jouez le jour et à l'horaire de votre choix, en toute autonomie</span></li><li><span style=""font-weight: normal;"">Min 2 joueurs</span></li></ul><br><span style=""color: rgb(31, 57, 95);"">Le jour J:</span><br><ul><li><span style=""font-weight: normal;"">Veillez à avoir un niveau de batterie suffisant</span></li><li><span style=""font-weight: normal;"">Disposez d'un forfait 3G/4G</span></li><li><span style=""font-weight: normal;"">Activez les données mobiles/géolocalisation/son</span></li><li><span style=""font-weight: normal;"">Munissez-vous d'un papier et d'un stylo</span></li><li><span style=""font-weight: normal;"">Les photos et vidéos réalisées sont automatiquement enregistrées dans votre smartphone</span></li></ul>","<p>Cet escape game outdoor, comme le dit le nom, est une activité faite à l'extérieur. Ça vous permettre de découvrir la ville au même moment du jeu!&nbsp;</p>","<p>L'Escape Game Outdoor Magie est une activité EVG très cool!</p><p>Un puissant sortilège a condamné l'accès à un passage souterrain, bloquant le retour des esprits vers l'au-delà. Désormais dissimulé quelque part en ville, il vous revient, en équipe, de lever cette malédiction et de retrouver cet endroit au plus vite !</p><p>Cet escape game outdoor, comme le dit le nom, est une activité faite à l'extérieur. Ça vous permettre de découvrir la ville au même moment du jeu! Comme ça, vous pourrez dire d'avoir bien visité Lisbonne :)</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>C'est très important d'avoir un niveau de batterie suffisant sur son téléphone pour jouer le jour J.</p>"
"Pêche en mer à Sesimbra","Lisbonne","Pêche en mer à Sesimbra pour mon EVG à Lisbonne!","<ul><li>Un bateau de pêche pour une demi-journée avec skipper</li><li>Pêche sportive</li><li>Les poissons que vous avez pêchés peuvent être ramenés à la maison</li><li>Espèces ciblées pour la pêche : sar, pagre, rouget, dorade grise, congre, mérou</li><li>Durée: environ 6 heures</li><li>Départ à 07h45</li><li>La licence de pêche pour tous les participants</li><li>Tout l'équipement (canne, hameçons, ...) nécessaire pour tout le monde</li><li>Assurance</li><li>L'activité a lieu à Sesimbra, a environ 1h du centre-ville</li><li>Possibilité de rajouter un transfert A/R (supplément)</li><li>L'activité peut être partagée avec des autres groupes</li></ul>","<p>Réservez une excursion de pêche en mer à Sesimbra lors de votre EVG à Lisbonne!</p>","<div><p>Réservez une excursion de pêche en mer à Sesimbra lors de votre EVG à Lisbonne!</p><p>Vivez une expérience unique de pêche sportive en mer à bord d'un bateau privatisé, accompagné d'un skipper professionnel pour une demi-journée d'aventure. </p><p>Partez à la conquête des poissons les plus prisés de l'Atlantique : sar, pagre, rouget, dorade grise, congre, mérou et bien d’autres encore.</p></div><p><br></p><p><u>BON À SAVOIR:</u></p><p>Nous recommandons toujours d’apporter des sacs ou glacières isothermes pour le transport du poisson capturé.</p>"
"Balade en Catamaran & BBQ","Lisbonne","Balade en Catamaran & BBQ pour mon EVG à Lisbonne","<p></p><ul><li><p style=""display: inline !important;"">4h de balade sur le Tage et l'océan sur un catamaran privatisé</p></li><li>1 skipper pour vous guider</li><li>Baignade si le temps le permet</li><li>4 boissons par personne (vin / bières / Softs)</li><li>Assortiment de fromages et chorizo</li><li>Barbecue (poulet et porc)</li><li>Salade et pain</li><li>Ananas et gâteau au chocolat</li><li>Capacité : 18 pers. en plus du skipper</li><li>2 créneaux horaires possibles: 10h00 à 14h00, 14h30 à 18h30&nbsp;</li></ul><p></p><p></p><ul> </ul> ","<p></p><div>4h de balade sur le Tage et l'océan sur un catamaran privatisé avec BBQ<br></div><p></p>","<p>Réservez une journée mer pour votre enterrement de vie de garçon à Lisbon:&nbsp;4h de balade sur le Tage et l'océan sur un catamaran privatisé avec BBQ!</p><p>Le skipper du catamaran vous retrouve directement sur la Marina.</p><p><br></p><p>La balade a généralement lieu de 10h00 à 14h00 ou 14h30 à 18h30 et se déroule ainsi:</p><p> 	10:00 - Embarquement<br> 	10:30 - Arrivée à la plage, jet de l'ancre et baignades<br> 	11:30 - Place au BBQ !<br> 	12:00 - Farniente, bronzette, grand air<br> 	13:00 - On met les voiles pour le retour vers la marina<br> 	14:00 - Retour à la marina</p> <p> 	Lorsque le créneau de 10h00 à 14h00 est complet, le catamaran se fait sur le créneau suivant : de 14h30 à 18h30.</p> <p> 	Il est nécessaire de préciser lors de la réservation le créneau que vous préférez.&nbsp;</p><p><br></p><p><u>BON A SAVOIR</u> :</p><p>Le départ se fait sur les quais dans le centre de Lisbonne. Le transport sur place n'est pas inclus (il faut compter environ 7 à 8 EUR en taxi depuis le centre historique).<br></p> "
"Dégustation de Porto","Lisbonne","Dégustation de Porto pour mon EVG à Lisbonne","<ul><li>Environ 1h d'activité</li><li>Dégustation de 3 portos</li><li>Sommelier</li><li>L'activité a lieu dans le centre-ville</li></ul>","<p>Une activité parfaite pour les amateurs de vin doux et fortifié, à savourer dans une ambiance conviviale et accessible à tous.</p>","<p>Plongez dans l'univers riche et raffiné du Porto grâce à une dégustation guidée par un sommelier expert!</p><p>Lors de votre EVG à Lisbonne dégustez&nbsp;3 portos soigneusement sélectionnés.</p><p>Une activité parfaite pour les amateurs de vin doux et fortifié, à savourer dans une ambiance conviviale et accessible à tous.</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>L'activité dure environ 1 heure.</p>"
"Striptease de Travesti","Lisbonne","Striptease de Travesti","<ul><li>Striptease de Travesti</li><li>Semi-striptease</li><li>Activité fun</li><li>Durée: 12 minutes</li><li>Disponible à votre hébergement</li></ul>","<p>Striptease de Travesti: Une activité amusante pour ne pas vous prendre trop au sérieux !</p>","<p>Striptease de Travesti: Une activité amusante pour ne pas vous prendre trop au sérieux lors de votre EVG à Lisbonne!</p><p>C'est ce qu'on appelle une mauvaise blague. Le bouquet final va faire du mal au marié...</p><p>Un show qui se termine par une mauvaise surprise pour le marié...cette stripteaseuse, certes un peu costaud, mais pas mal foutue se trouve en fait être un...homme.</p><p>À organiser pour un pote qui a le sens de l'humour :)&nbsp;</p>"
